nickname,review,star,product_name,price,discount_pct,review_count,view_count,sales_count
ss552,"세일해서 저렴하게 잘 샀습니다.
포장이랑 퀄리티가 너무 좋네요",5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
불금엔검정컷팅,사이즈 안내 참고해서 샀는데 거의 딱 맞아요. 퀄리티 대비 가격 만족합니다,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
살빼자제에발,사이즈는 기가 막히고 무난함의 끝판왕 뭐 사실 고민이 될때는 이거 사세요,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
살빼자제에발,역시 무난함의 끝판왕 뭐 살지 고민될때는 꼭 사세요,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
둠둠치,그냥 금액 생각하면 괜찮네요. 사이즈가 그렇게 크지는 않습니다.,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
친절한미국레트로,"무난무난 입기 좋은 블레이저입니다.
딱 깔끔 그 자체라서 덧붙일 말은 없네요.
가성비로는 무탠다드 만한 게 또 없습니다.",5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
차분한프라하엣지,"기본 블레이저로 입기 좋습니다.
적당히 오버핏입니다",4.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
다르미안타,"경조사에 갑자기입을날있을때 딱이에요
그냥 입어도조쿠용",5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
유머있는판교나시,결혼식 때문에 급하게 구매했는데 가격대도 합리적이고 품질도 괜찮았습니다.,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
seolwg,옷이 딱 적당해요 무난무난 누구나 입기 좋은거같애요,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
놀라운방배기획전,"면접시 면접관에게 스타일이 깔끔하다고 얘기 들었습니다.
옷의 기운받아 붙었음 좋겠네요.",5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
활기찬글로시밴드,"빨리 오네요
사이즈도 잘 맞습니다
옷걸이도 같이 와서 보관하기 편합니다",5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
awefas,굿굿 적당히 가성비 굿굿낫배드 적당히 굿굿이요,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
까탈남,저렴한 가격에 블랙셋업으로 추천합니다! 가격대비 품질이 좋아요,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
경기도개승,"너무 편하고 좋습니다 !
기본템으로 최고에요 !
그냥 기본을 원하시는분들 구매하세요!",5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
리얼한터키롱패딩,사이즈 적당하고 무난하게 입을 수 있는것 같아서 좋았습니다.,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
민트카롱,매우매우매우 만족합니다! 여자친구가 좋아합니다!,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
겨울오는소리,"102정도의 사이즈감인거 같아서 좋습니다
하의 선택 여지가 많아서 플레어로 세트로 샀네요",5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
noforgivepunch,결혼식에 참석할때 입을 옷이 없어서 급하게 샀는데 생각보다 아주 만족스럽습니다,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
까리겟뎃,"핏도 너무 좋고 이쁩니다 ㅎㅎ생각보다 기장이 긴 느낌이 있어서 한사이즈 다운해서 구매추천드립니다.
팔이 조금 타이트한느낌은 있는데 그래두 핏이이쁩니다!",5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
무정한워싱턴후드,가성비 좋은 셋업이나 단품 블레이저 필요하면 무탠다드 너무 좋은 것 같아요.,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
펭귄간다,음음…..퓸은 널널한데 팔이 너무 길다고 해야하너….라지는 너무 타이트하고….엑라는 아빠정장느낌임,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
이색적인니스부츠,오프라인 구매하여 직접 입어보니 아주 좋습니다아..!!,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
애정어린크림린넨,가성비가 아주 좋습니다 사이즈는 제 스펙에 무조건 xl로하세요,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
깊은전주아가일,좋은 제품 감사합니다~ 다음에도 구매하겠습니다,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
쿨한오렌지안경테,사이즈도 적당하고 할인할때 싸게 잘 산 거 같아요!,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
뽀쓰리꼰,자고로 남자에게 무적권 하나 필수로 갖고잇어야 하는 블레이저 !,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
뽀쓰리꼰,기본중의 기본 블레이저는 필수아이템이라 생각함,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
공개된카멜스키니,무신사라서 믿고 샀는데 역시 무신사입니다.. 가성비 지림,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
솔로여서연애,그냥 적당한 가격에 사서 무난하게 잘 입고 있습니다,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
dorqo,가성비 및 상품이 너무 이브고 마음에 듭니다 사이즈도 딱 좋아요,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
연스터,"너무 오버핏도 아니고 딱 붙는 핏도 아니어서 편하게 입을 것 같아여
재질도 부드럽습니다~! 가성비 좋아여",5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
연스터,"사무실 출근할때 편하게 입으려고 샀습니다
봄가을용이고 부드러워요
겨울되기전에 얼른 입으려구요",5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
잊혀질 권리,경조사용으로 입으려고 장만했어요~ 핏도 널널하고 편하게 입고 다닐 것 같아요! 강추드립니다!,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
방구팀,생각보다 좋은 가격에 살수있어서 좋았고 질도 좋았습니다.,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
행복한상어,급하게 필요해서 시켰는데 빠르게 와서 좋고 핏도 약간 오버핏으로 예쁩니당,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
쏘밷,어깨라인이 조금 빳빳해서 숨좀 죽여야할거같음,4.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
caze,정핏 투엑라는 결국 정핏이라 루즈한 핏을 위해서 구매 했습니다.,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
오초땅바,면접복으로 딱입니다 사이즈도 괜찮고 편합니다,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
땡우,조금 큰느낌 오버에요 보통보다 햐 사이즈큰느낌,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
콜드플레이*,배송 빠르고 가성비 짱입니다. 무탠다드 너무 좋아요,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
eifjjdh,175 65 L사이즈 딱 맞아요. 핏 좋고 재질 좋아요.,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
고요한쿠바펜던트,경조사 활용할려고 구매했는데 평상시에도 코디 가능할거 같아요,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
고요한쿠바펜던트,살짝 루즈핏 너무 좋네요 여름엔 입기 힘들거 같아요,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
L윤이,베이지 사서 입어보고 편하고 좋아서 블랙도 추가 구매 했습니다,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
Jns0976,딱 제가 기대한 핏이라 좋은 것 같아요 정장 급하게 필요하신 분들은 구매 추천해용,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
kim89,일단 너무 이쁘고 가성비가 좋아서 매우만족해요,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
서투른홍대디자인,"무난하게 입기 좋습니다 처음에 M 샀는데 어깨, 등 부분이 작아서 L 로 바꾸고 소매 기장 수선해서 입습니다",4.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
서투른홍대디자인,"무난하게 입기 좋습니다 처음에는 M 샀는데 어깨, 등 부분이 작아서 L로 교환하고 소매 기장 수선했어요",4.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
풍부한청색퍼,덩치가 있어서 양복 상의 고민이었는데 좋아요. 하의는 슬렉스 마음에 드는 핏으로 맞춰 입을 계획입니다.,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
풍부한청색퍼,첫구매로 잘 샀습니다. 양복이 필요했는데 슬렉스하고 같이 입을 계획입니다.,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
찐쫑,가성비있고 좋네요 ㅎㅎ 잘 삿씁니다. 지인들에게도 추천했습니다...!,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
세계적인파랑바지,사이즈는 살짝의 오버핏느낌이고 너무 꾸민것같지않은 트랜지한 느낌이에요. 결혼식 갈때 입으면 좋음!,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
